"Violation County","House Number","Street Name","Violation Post Code","Violation Precinct","count"
"BK","","SB UTICA AVE @ AVE I","","0.0","949"
"BK","","NB SHELL RD @ BOUCK","","0.0","943"
"BK","","SB OCEAN AVE @ AVE M","","0.0","943"
"MN","","NB WEST END AVE @ W","","0.0","942"
"MN","","WB DELANCEY ST @ ELR","","0.0","935"
"MN","","SB WEST ST @ W THAME","","0.0","927"
"BK","","SB 4TH AVE @ 28TH ST","","0.0","921"
"MN","","NB PARK AVE @ E 37TH","","0.0","920"
"BK","","SB KINGS HWY @ E 95T","","0.0","918"
"BK","","SB FLATBUSH AVE EXT","","0.0","904"
"BK","","NB REMSEN AVE @ BAY","","0.0","900"
"BK","","WILLIAMSBURG ST (S/B","","0.0","900"
"ST","","SB BLOOMINGDALE RD @","","0.0","899"
"ST","","EB WOODROW RD @ POWE","","0.0","898"
"BX","","SB UNIVERSITY AVE @","","0.0","896"
"BX","","W FORDHAM RD (W/B) @","","0.0","896"
"BK","","SB OCEAN PKWY @ KING","","0.0","893"
"BK","","NB ROGERS AVE @ PROS","","0.0","892"
"BX","","WB W 230TH ST @ TIBB","","0.0","885"
"BK","","SB FLATBUSH AVE @ FL","","0.0","885"
"BX","","CROSS BRONX EXPWY (W","","0.0","883"
"QN","","BORDEN AVE (E/B) @ G","","0.0","874"
"BK","","WB EASTERN PKWY @ CL","","0.0","872"
"QN","","SB 164TH ST @ JEWEL","","0.0","869"
"BK","","EB PARK AVE @ WAVERL","","0.0","868"
"BK","","EB 86TH ST @ BAY 14T","","0.0","866"
"BK","","NB 3RD AVE @ 6TH ST","","0.0","864"
"BK","","NB ROGERS AVE @ ERAS","","0.0","864"
"QN","","EB 58TH AVE @ 185TH","","0.0","842"
"BK","","NB MILL AVE @ AVE U","","0.0","833"
"BK","","WB ATLANTIC AVE @ BR","","0.0","833"
"QN","","EB MERRICK BLVD @ 16","","0.0","829"
"QN","","NB BAISLEY BLVD @ 15","","0.0","824"
"QN","","NB LEFFERTS BLVD @ S","","0.0","822"
"QN","","NB UTOPIA PKWY @ 17T","","0.0","821"
"ST","","NB DECKER AVE @ HAGA","","0.0","814"
"BK","","NB 8TH AVE @ 1ST ST","","0.0","806"
"MN","","NB WEST ST @ WARREN","","0.0","801"
"BK","","SB OCEAN PKWY @ BEVE","","0.0","799"
"ST","","EB GUYON AVE @ ACORN","","0.0","787"
"BX","","EB E 161ST ST @ GERA","","0.0","786"
"QN","","NB MAIN ST @ REEVES","","0.0","784"
"ST","","SB DECKER AVE @ SMIT","","0.0","781"
"BK","","SB REMSEN AVE @ STIL","","0.0","777"
"ST","","NB SHARROTT AVE @ BE","","0.0","777"
"BK","","NB MCGUINNESS BLVD @","","0.0","768"
"BX","","NB JEROME AVE @ E 16","","0.0","763"
"BK","","SB 4TH AVE @ 72ND ST","","0.0","757"
"BK","","NB BEDFORD AVE @ CLY","","0.0","754"
"QN","","WB 116TH AVE @ 141ST","","0.0","752"
"BK","","SB FLATBUSH AVE @ FA","","0.0","735"
"BX","","NB BOSTON RD @ WHITE","","0.0","733"
"BK","","EB SURF AVE @ W 12TH","","0.0","728"
"BX","","EB BRUCKNER BLVD @ B","","0.0","727"
"BX","","NB SOUNDVIEW AVE @ B","","0.0","726"
"QN","","EB ASTORIA BLVD @ 81","","0.0","718"
"BK","","SB ROCKAWAY PKWY @ A","","0.0","714"
"ST","","NB MARSH AVE @ ELMWO","","0.0","711"
"QN","","WB ROCKAWAY FWY @ BA","","0.0","708"
"MN","","NB 3RD AVE @ E 66TH","","0.0","705"
"QN","","SB BAISLEY BLVD @ 16","","0.0","701"
"BK","","SB CADMAN PLAZA @ CL","","0.0","695"
"ST","","ARTHUR KILL RD (W/B)","","0.0","693"
"BK","","NB OCEAN AVE @ GRAVE","","0.0","692"
"BK","","NB 65TH ST @ W 2ND S","","0.0","692"
"QN","","EB GRAND CENTRAL PKW","","0.0","690"
"BK","","WB ATLANTIC AVE @ PR","","0.0","688"
"QN","","NORTHERN BLVD (E/B)","","0.0","688"
"BK","","SB 3RD AVE @ 3RD ST","","0.0","683"
"BK","","WB 86TH ST @ 17TH AV","","0.0","683"
"MN","","NB 3RD AVE @ E 16TH","","0.0","681"
"BK","","NB SHORE RD @ 83RD S","","0.0","671"
"BX","","NB E TREMONT AVE @ C","","0.0","670"
"BK","","EB LAFAYETTE AVE @ M","","0.0","666"
"BK","","SB KINGS HWY @ TILDE","","0.0","664"
"BK","","EB CLARENDON RD @ E","","0.0","663"
"BK","","NB NOSTRAND AVE @ AV","","0.0","663"
"BK","","NB 3RD AVE @ 53RD ST","","0.0","661"
"ST","","EB HYLAN BLVD @ CUNN","","0.0","660"
"BK","","NB 14TH AVE @ 49TH S","","0.0","659"
"BX","","WB E 233RD ST @ KATO","","0.0","648"
"QN","","SB UTOPIA PKWY @ 56T","","0.0","647"
"BK","","KINGS HWY (S/B) @ RE","","0.0","646"
"ST","","SB RICHMOND RD @ VEN","","0.0","646"
"QN","","EB BRADDOCK AVE @ 22","","0.0","645"
"BK","","SB NOSTRAND AVE @ PA","","0.0","643"
"BK","","NB ROGERS AVE @ MONT","","0.0","641"
"BK","","NB NOSTRAND AVE @ SH","","0.0","641"
"BK","","EB AVE P @ E 18TH ST","","0.0","640"
"QN","","EB HILLSIDE AVE @ KE","","0.0","639"
"ST","","SB WOOLLEY AVE @ DAW","","0.0","636"
"QN","","NB WOODHAVEN BLVD @","","0.0","633"
"BK","","NB SHORE RD @ 71ST S","","0.0","632"
"BK","","REMSEN AVE (N/B) @ W","","0.0","631"
"QN","","NB 69TH ST @ 53RD RD","","0.0","625"
"QN","","WB CENTRAL AVE @ B 9","","0.0","625"
"QN","","EB BOOTH MEMORIAL AV","","0.0","625"
"BK","","LINDEN BLVD (W/B) @","","0.0","624"
"QN","","WB JAMAICA AVE @ 224","","0.0","622"
"BK","","SB 4TH AVE @ 13TH ST","","0.0","615"
"BK","","EB 60TH ST @ 13TH AV","","0.0","611"
"ST","","NB MORNINGSTAR RD @","","0.0","609"
"BX","","GRAND CONCOURSE (N/B","","0.0","607"
"ST","","NB MIDLAND AVE @ MAS","","0.0","606"
"BK","","SB 65TH ST @ W 2ND S","","0.0","603"
"BK","","NB 4TH AVE @ BAY RID","","0.0","602"
"BK","","ATLANTIC AVE (E/B) @","","0.0","598"
"QN","","SO CONDUIT AVE (E/B)","","0.0","597"
"QN","","WB ROCKAWAY BLVD @ 1","","0.0","597"
"ST","","NB BRADLEY AVE @ WIL","","0.0","591"
"BX","","EB HARDING AVE @ CAL","","0.0","591"
"ST","","SB RICHMOND AVE @ GE","","0.0","590"
"MN","","EB PEARL ST @ PECK S","","0.0","589"
"BK","","SB KINGS HWY @ NEW Y","","0.0","587"
"BK","","WB SEAVIEW AVE @ E 1","","0.0","587"
"MN","","EB W 23RD ST @ 5TH A","","0.0","586"
"QN","","NB 164TH ST @ 71ST A","","0.0","581"
"BK","","WB EMMONS AVE @ COYL","","0.0","578"
"QN","","WB CULLMAN AVE @ 252","","0.0","573"
"BX","","SB RIVERDALE AVE @ W","","0.0","571"
"BX","","SB SOUNDVIEW AVE @ T","","0.0","570"
"BK","","NB BAY PKWY @ 63RD S","","0.0","570"
"BK","","EB TILLARY ST @ JAY","","0.0","568"
"MN","","NB 1ST AVE @ E 39TH","","0.0","567"
"BK","","NB KINGS HWY @ AVE N","","0.0","567"
"ST","","SB TODT HILL RD @ HE","","0.0","563"
"ST","","WB COLLEGE AVE @ LOC","","0.0","561"
"BK","","SB W 6TH ST @ AVE T","","0.0","559"
"QN","","NB 33RD ST @ BROADWA","","0.0","552"
"QN","","SB NORTHERN BLVD @ B","","0.0","548"
"BK","","SB BAY PKWY @ 60TH S","","0.0","545"
"BK","","WB NEPTUNE AVE @ OCE","","0.0","545"
"BK","","BEDFORD AVE (N/B) @","","0.0","543"
"QN","","EB ATLANTIC AVE @ 11","","0.0","540"
"BK","","SB MCGUINNESS BLVD @","","0.0","540"
"QN","","EB NORTHERN BLVD @ 6","","0.0","535"
"BK","","HAMILTON AVE (N/B) @","","0.0","524"
"ST","","EB HYLAN BLVD @ TYSE","","0.0","520"
"MN","","NB 1ST AVE @ E 84TH","","0.0","519"
"ST","","SB HYLAN BLVD @ FING","","0.0","519"
"QN","","ROCKAWAY BLVD (N/B)","","0.0","517"
"QN","","EB 115TH AVE @ 220TH","","0.0","516"
"BK","","OCEAN PKWY (N/B) @ A","","0.0","516"
"MN","","NB 10TH AVE @ W 54TH","","0.0","513"
"ST","","WB HYLAN BLVD @ CHEL","","0.0","511"
"MN","","SB WEST END AVE @ W","","0.0","506"
"BX","","WB E 163RD ST @ UNIO","","0.0","506"
"MN","","SB COLUMBUS AVE @ W","","0.0","506"
"BX","","BRONX RIVER PKWY OFF","","0.0","504"
"BX","","EB E FORDHAM RD @ BA","","0.0","502"
"QN","","SB BROOKVILLE BLVD @","","0.0","502"
"BK","","EB BAY RIDGE PKWY @","","0.0","500"
"ST","","RICHMOND AVE (N/B) @","","0.0","499"
"QN","","EB MCLAUGHLIN AVE @","","0.0","496"
"QN","","SB CROSS BAY BLVD @","","0.0","495"
"BX","","SB BOSTON RD @ E 173","","0.0","491"
"QN","","SB FRESH POND RD @ 5","","0.0","490"
"BX","","SB BAILEY AVE @ W 22","","0.0","488"
"BK","","SB 7TH AVE @ 92ND ST","","0.0","482"
"ST","","NB TOMPKINS AVE @ TO","","0.0","480"
"QN","","SB CRESCENT ST @ 33R","","0.0","479"
"QN","","EB NORTHERN BLVD @ 1","","0.0","479"
"QN","","SB FARMERS BLVD @ 11","","0.0","476"
"BK","","SB SHELL RD @ BOUCK","","0.0","474"
"BK","","WB ATLANTIC AVE @ RO","","0.0","474"
"ST","","EB COLLEGE AVE @ NEA","","0.0","470"
"BX","","NB WHITE PLAINS RD @","","0.0","467"
"ST","","EB DEPPE PL @ WILLOW","","0.0","466"
"QN","","EB 73RD AVE @ 175TH","","0.0","466"
"BX","","NB BOSTON RD @ ELY A","","0.0","465"
"QN","","EB 28TH AVE @ 210TH","","0.0","464"
"BK","","SB BROOKLYN AVE @ ST","","0.0","461"
"BX","","NB BEDFORD PARK BLVD","","0.0","460"
"BX","","NB WEBSTER AVE @ E 2","","0.0","460"
"QN","","WOODHAVEN BLVD (N/B)","","0.0","459"
"QN","","EB BEACH CHANNEL DR","","0.0","459"
"QN","","EB ASTORIA BLVD @ 10","","0.0","457"
"MN","","EB E 14TH ST @ AVE C","","0.0","453"
"BX","","EB EAST FORDHAM ROAD","","0.0","448"
"BX","","NB EDWARD L GRANT HW","","0.0","446"
"BK","","WB AVE H @ TROY AVE","","0.0","441"
"QN","","SB 94TH ST @ 24TH AV","","0.0","440"
"BX","","NB LACONIA AVE @ E 2","","0.0","439"
"MN","","WB W 125TH ST @ ADAM","","0.0","439"
"BK","","WB CLARENDON RD @ E","","0.0","438"
"BK","","WB PACIFIC ST @ CLAS","","0.0","436"
"BX","","SB CROSBY AVE @ BAIS","","0.0","432"
"BK","","SB STILLWELL AVE @ A","","0.0","432"
"ST","","SB RICHMOND AVE @ TR","","0.0","432"
"BK","","NB MARCY AVE @ HALSE","","0.0","428"
"QN","","EB 63RD RD @ 108TH S","","0.0","422"
"BX","","EB E 222ND ST @ BARN","","0.0","417"
"QN","","NB MAIN ST @ 75TH AV","","0.0","416"
"BK","","WB CHURCH AVE @ STRA","","0.0","414"
"QN","","WB 56TH AVE @ 226TH","","0.0","414"
"MN","","NB 10TH AVE @ W 201S","","0.0","411"
"BX","","EB E 161ST ST @ MELR","","0.0","410"
"QN","","EB GRAND AVE @ 56TH","","0.0","410"
"BK","","SB MARCUS GARVEY BLV","","0.0","405"
"BX","","SB WATERS PL @ BRONX","","0.0","401"
"QN","","SB 71ST AVE @ LOUBET","","0.0","400"
"QN","","S CONDUIT AVE (E/B)","","0.0","397"
"BK","","NB 26TH AVE @ HARWAY","","0.0","397"
"ST","","SB 10 ST @ CANNON BL","","0.0","396"
"BX","","GUN HILL RD (E/B) @","","0.0","394"
"MN","","NB MALCOLM X BLVD /","","0.0","392"
"QN","","WB HILLSIDE AVE @ PA","","0.0","392"
"BX","","SB WEBSTER AVE @ ITT","","0.0","391"
"BK","","NB UTICA AVE @ AVE J","","0.0","390"
"MN","","SB Nostrand Avenue @","","0.0","386"
"BK","","SB BEDFORD AVE @ AVE","","0.0","383"
"QN","","WB NORTHERN BLVD @ 6","","0.0","383"
"QN","","EB 147TH AVE @ 256TH","","0.0","383"
"QN","","ASTORIA BLVD (W/B) @","","0.0","383"
"QN","","EB JAMAICA AVE @ 222","","0.0","382"
"MN","","SB 2ND AVE @ E 76TH","","0.0","380"
"QN","","WB NORTHERN BLVD @ M","","0.0","380"
"BX","","WB LAFAYETTE AVE @ H","","0.0","380"
"BK","","NB THROOP AVE @ DEKA","","0.0","374"
"QN","","EB NORTHERN BLVD @ 7","","0.0","373"
"QN","","EB 73RD AVE @ 198TH","","0.0","371"
"MN","","NB MORNINGSIDE AVE @","","0.0","371"
"BX","","3RD AVE (S/B) @ E 13","","0.0","371"
"BK","","SB OCEAN PKWY @ AVEN","","0.0","370"
"QN","","WB UNION TPKE @ COMM","","0.0","366"
"QN","","EB 157TH AVE @ 85TH","","0.0","365"
"QN","","SB BELL BLVD @ 75TH","","0.0","364"
"BK","","FLATBUSH AVE (S/B) @","","0.0","363"
"QN","","EB NEWPORT AVE @ B 1","","0.0","360"
"QN","","EB JEWEL AVE @ 113TH","","0.0","360"
"BK","","4TH AVE (N/B) @ 18TH","","0.0","360"
"BX","","WB E 161ST ST @ SHER","","0.0","360"
"MN","","BROADWAY (S/B) @ SHE","","0.0","360"
"QN","","NB BELL BLVD @ 18TH","","0.0","356"
"BK","","WB PRESIDENT ST @ AL","","0.0","355"
"QN","","NB FRESH POND RD @ 5","","0.0","353"
"QN","","EB 155TH AVE @ 86TH","","0.0","351"
"QN","","SB 150TH ST @ 18TH A","","0.0","351"
"MN","","NB RIVERSIDE DR @ W","","0.0","350"
"QN","","SB 48TH ST @ 50TH AV","","0.0","349"
"QN","","EB COOPER AVE @ 79TH","","0.0","348"
"BK","","JAMAICA AVE (E/B) @","","0.0","347"
"QN","","EB UNION TRPK @ CROS","","0.0","347"
"ST","","SB ARMSTRONG AVE @ A","","0.0","347"
"QN","","SEAGIRT BLVD (W/B) @","","0.0","347"
"ST","","SB KEEGANS LN @ TREN","","0.0","345"
"QN","","WB 58TH AVE @ 186TH","","0.0","345"
"ST","","WB HYLAN BLVD @ LUTE","","0.0","344"
"MN","","NB MADISON AVE @ E 1","","0.0","344"
"BK","","CONEY ISLAND AVE (S/","","0.0","342"
"MN","","NB BROADWAY @ W 196T","","0.0","342"
"QN","","CROSSBAY BLVD (S/B)","","0.0","341"
